tag,pattern,response,pattern_length,response_length
greeting,Hi,Hello! How can I assist you with Medical Assistance today?,1,10
greeting,Hello,Hello! How can I assist you with Medical Assistance today?,1,10
greeting,Hey,Hello! How can I assist you with Medical Assistance today?,1,10
greeting,Greetings,Hello! How can I assist you with Medical Assistance today?,1,10
greeting,Hi there,Hello! How can I assist you with Medical Assistance today?,2,10
greeting,Good morning,Hello! How can I assist you with Medical Assistance today?,2,10
greeting,Hey Assistant,Hello! How can I assist you with Medical Assistance today?,2,10
greeting,Yo,Hello! How can I assist you with Medical Assistance today?,1,10
cancer_general,What is cancer?,"Cancer is a group of diseases characterized by the uncontrolled growth and spread of abnormal cells. It can develop in almost any organ or tissue of the body and has various types, each with its unique characteristics and treatment approaches.",3,40
cancer_general,Tell me about cancer,"Cancer is a group of diseases characterized by the uncontrolled growth and spread of abnormal cells. It can develop in almost any organ or tissue of the body and has various types, each with its unique characteristics and treatment approaches.",4,40
cancer_general,Explain cancer types,"Cancer is a group of diseases characterized by the uncontrolled growth and spread of abnormal cells. It can develop in almost any organ or tissue of the body and has various types, each with its unique characteristics and treatment approaches.",3,40
cancer_general,How does cancer develop?,"Cancer is a group of diseases characterized by the uncontrolled growth and spread of abnormal cells. It can develop in almost any organ or tissue of the body and has various types, each with its unique characteristics and treatment approaches.",4,40
cancer_general,Can you explain cancer to me?,"Cancer is a group of diseases characterized by the uncontrolled growth and spread of abnormal cells. It can develop in almost any organ or tissue of the body and has various types, each with its unique characteristics and treatment approaches.",6,40
cancer_general,I want to know about cancer,"Cancer is a group of diseases characterized by the uncontrolled growth and spread of abnormal cells. It can develop in almost any organ or tissue of the body and has various types, each with its unique characteristics and treatment approaches.",6,40
cancer_general,What causes cancer?,"Cancer is a group of diseases characterized by the uncontrolled growth and spread of abnormal cells. It can develop in almost any organ or tissue of the body and has various types, each with its unique characteristics and treatment approaches.",3,40
cancer_types,Tell me about lung cancer,"Cancer types include lung cancer, breast cancer, prostate cancer, leukemia, skin cancer, among others. Each type has specific subtypes and characteristics.",5,21
cancer_types,What are the types of breast cancer?,"Cancer types include lung cancer, breast cancer, prostate cancer, leukemia, skin cancer, among others. Each type has specific subtypes and characteristics.",7,21
cancer_types,Explain prostate cancer,"Cancer types include lung cancer, breast cancer, prostate cancer, leukemia, skin cancer, among others. Each type has specific subtypes and characteristics.",3,21
cancer_types,What are the subtypes of leukemia?,"Cancer types include lung cancer, breast cancer, prostate cancer, leukemia, skin cancer, among others. Each type has specific subtypes and characteristics.",6,21
cancer_types,Different types of skin cancer?,"Cancer types include lung cancer, breast cancer, prostate cancer, leukemia, skin cancer, among others. Each type has specific subtypes and characteristics.",5,21
cancer_types,What kinds of cancer are there?,"Cancer types include lung cancer, breast cancer, prostate cancer, leukemia, skin cancer, among others. Each type has specific subtypes and characteristics.",6,21
cancer_types,List the types of cancer,"Cancer types include lung cancer, breast cancer, prostate cancer, leukemia, skin cancer, among others. Each type has specific subtypes and characteristics.",5,21
cancer_types,Tell me about breast cancer,"Cancer types include lung cancer, breast cancer, prostate cancer, leukemia, skin cancer, among others. Each type has specific subtypes and characteristics.",5,21
cancer_symptoms,"Persistent coughing, chest pain, shortness of breath, and coughing up blood.","It seems like you may be experiencing symptoms related to cancer. These symptoms can be associated with different types of cancer, including lung cancer, breast cancer, prostate cancer, leukemia, and skin cancer. Understanding these symptoms is crucial for early detection and treatment.",11,42
cancer_symptoms,"Lump or thickening in the breast or underarm area, changes in breast size or shape, nipple changes or discharge.","It seems like you may be experiencing symptoms related to cancer. These symptoms can be associated with different types of cancer, including lung cancer, breast cancer, prostate cancer, leukemia, and skin cancer. Understanding these symptoms is crucial for early detection and treatment.",19,42
cancer_symptoms,"Difficulty urinating, weak or interrupted urine flow, blood in the urine or semen, erectile dysfunction, pain in the hips, back, or chest.","It seems like you may be experiencing symptoms related to cancer. These symptoms can be associated with different types of cancer, including lung cancer, breast cancer, prostate cancer, leukemia, and skin cancer. Understanding these symptoms is crucial for early detection and treatment.",22,42
cancer_symptoms,"Fatigue, frequent infections, easy bruising or bleeding, swollen lymph nodes, bone pain.","It seems like you may be experiencing symptoms related to cancer. These symptoms can be associated with different types of cancer, including lung cancer, breast cancer, prostate cancer, leukemia, and skin cancer. Understanding these symptoms is crucial for early detection and treatment.",12,42
cancer_symptoms,"Changes in the size, shape, or color of a mole or other skin lesion, a sore that does not heal, itching, tenderness, or pain in the affected area.","It seems like you may be experiencing symptoms related to cancer. These symptoms can be associated with different types of cancer, including lung cancer, breast cancer, prostate cancer, leukemia, and skin cancer. Understanding these symptoms is crucial for early detection and treatment.",28,42
cancer_symptoms,I have a lump and it won't go away,"It seems like you may be experiencing symptoms related to cancer. These symptoms can be associated with different types of cancer, including lung cancer, breast cancer, prostate cancer, leukemia, and skin cancer. Understanding these symptoms is crucial for early detection and treatment.",9,42
cancer_symptoms,I've been coughing blood recently,"It seems like you may be experiencing symptoms related to cancer. These symptoms can be associated with different types of cancer, including lung cancer, breast cancer, prostate cancer, leukemia, and skin cancer. Understanding these symptoms is crucial for early detection and treatment.",5,42
cancer_symptoms,What are warning signs of cancer?,"It seems like you may be experiencing symptoms related to cancer. These symptoms can be associated with different types of cancer, including lung cancer, breast cancer, prostate cancer, leukemia, and skin cancer. Understanding these symptoms is crucial for early detection and treatment.",6,42
cancer_prevention,How can I prevent cancer?,"Preventing cancer involves making healthy lifestyle choices and taking proactive measures. Here are some key prevention methods:
1. Maintain a healthy weight and adopt a balanced diet rich in fruits, vegetables, and whole grains.
2. Avoid tobacco and limit alcohol consumption.
3. Protect yourself from the sun and avoid excessive exposure to UV radiation.
4. Get regular exercise and stay physically active.
5. Follow recommended cancer screening guidelines and get vaccinated against viruses associated with cancer risk, such as HPV.",5,80
cancer_prevention,What are the ways to reduce the risk of cancer?,"Preventing cancer involves making healthy lifestyle choices and taking proactive measures. Here are some key prevention methods:
1. Maintain a healthy weight and adopt a balanced diet rich in fruits, vegetables, and whole grains.
2. Avoid tobacco and limit alcohol consumption.
3. Protect yourself from the sun and avoid excessive exposure to UV radiation.
4. Get regular exercise and stay physically active.
5. Follow recommended cancer screening guidelines and get vaccinated against viruses associated with cancer risk, such as HPV.",10,80
