tag,pattern,response
greeting,Hi,Hello! How can I assist you with Medical Assistance today?
greeting,Hello,Hello! How can I assist you with Medical Assistance today?
greeting,Hey,Hello! How can I assist you with Medical Assistance today?
greeting,Greetings,Hello! How can I assist you with Medical Assistance today?
greeting,Hi there,Hello! How can I assist you with Medical Assistance today?
greeting,Good morning,Hello! How can I assist you with Medical Assistance today?
greeting,Hey Assistant,Hello! How can I assist you with Medical Assistance today?
greeting,Yo,Hello! How can I assist you with Medical Assistance today?
cancer_general,What is cancer?,"Cancer is a group of diseases characterized by the uncontrolled growth and spread of abnormal cells. It can develop in almost any organ or tissue of the body and has various types, each with its unique characteristics and treatment approaches."
cancer_general,Tell me about cancer,"Cancer is a group of diseases characterized by the uncontrolled growth and spread of abnormal cells. It can develop in almost any organ or tissue of the body and has various types, each with its unique characteristics and treatment approaches."
cancer_general,Explain cancer types,"Cancer is a group of diseases characterized by the uncontrolled growth and spread of abnormal cells. It can develop in almost any organ or tissue of the body and has various types, each with its unique characteristics and treatment approaches."
cancer_general,How does cancer develop?,"Cancer is a group of diseases characterized by the uncontrolled growth and spread of abnormal cells. It can develop in almost any organ or tissue of the body and has various types, each with its unique characteristics and treatment approaches."
cancer_general,Can you explain cancer to me?,"Cancer is a group of diseases characterized by the uncontrolled growth and spread of abnormal cells. It can develop in almost any organ or tissue of the body and has various types, each with its unique characteristics and treatment approaches."
cancer_general,I want to know about cancer,"Cancer is a group of diseases characterized by the uncontrolled growth and spread of abnormal cells. It can develop in almost any organ or tissue of the body and has various types, each with its unique characteristics and treatment approaches."
cancer_general,What causes cancer?,"Cancer is a group of diseases characterized by the uncontrolled growth and spread of abnormal cells. It can develop in almost any organ or tissue of the body and has various types, each with its unique characteristics and treatment approaches."
cancer_types,Tell me about lung cancer,"Cancer types include lung cancer, breast cancer, prostate cancer, leukemia, skin cancer, among others. Each type has specific subtypes and characteristics."
cancer_types,What are the types of breast cancer?,"Cancer types include lung cancer, breast cancer, prostate cancer, leukemia, skin cancer, among others. Each type has specific subtypes and characteristics."
cancer_types,Explain prostate cancer,"Cancer types include lung cancer, breast cancer, prostate cancer, leukemia, skin cancer, among others. Each type has specific subtypes and characteristics."
cancer_types,What are the subtypes of leukemia?,"Cancer types include lung cancer, breast cancer, prostate cancer, leukemia, skin cancer, among others. Each type has specific subtypes and characteristics."
